ID,제목,국가,카테고리점수,style
2264,"방탄소년단, 일본에서 역대 앨범 판매량 기록 세웠다",인도,200,KPOP
2265,방탄소년단: 가수가 백도어 광고 비판을 받은 후 트위터에 '정국을 지켜라' 트렌드가 떠올랐다,인도,100,KPOP
2266,"블랙핑크 리사, 방탄소년단 슈가, 싸이와 함께 랩 판매량 1위에 올랐다",인도,500,KPOP
2267,"'My Universe': 유럽 우주 정거장, 우주에서 방탄소년단 X 콜드플레이 열풍에 합류",인도,100,KPOP
2268,"애프터스쿨 멤버 리지, 음주운전 혐의로 징역 1년 선고",인도,100,KPOP
2269,"BTS 팬들 단속한 중국, 이제 젊은이들을 ‘통제’하기 위해 대중문화 전반을 강력히 규제",프랑스,100,KPOP
2270,"방탄소년단, 팬데믹 이후 첫 라이브 콘서트 개최",태국,200,KPOP
2271,"한국관광공사, 한국 가상관광 상품 온라인 판매",태국,0,기타
2272,2020 두바이 엑스포 전시관에서 펼쳐지는 K-팝 공연과 수직 영화관,UAE,100,KPOP
2273,한국 드라마 <사이코지만 괜찮아> 국제 에미상 최종후보 올라,미국,10,영화/드라마
2274,[분석] 누가 韓 드라마 <오징어게임>을 떠들썩하게 만들었나?,중국,10,영화/드라마
2275,최근 시청한 드라마 중 가장 강력한 넷플릭스 ‘오징어 게임’ 첫 회,벨기에,30,영화/드라마
2276,오징어 게임은 무엇이고 이것에 몰입하는 이유,미국,10,영화/드라마
2277,"한국 사찰음식, 벨기에 입맛을 사로잡다",벨기에,0,기타
2278,"2년 전 한국으로 떠난 파투(Fatou), 케이팝 스타가 되다",벨기에,100,KPOP
2279,2021년 제9회 벨기에 한국 영화제 프로그램 소개,벨기에,10,영화/드라마
2280,방탄소년단 : 정국은 ‘마이 유니버스’를 망칠까봐 걱정했고 크리스 마틴은 치어리더로 응원했다,인도,100,KPOP
2281,방탄소년단과 블랙핑크를 제외한 인기 K팝 밴드 10개,인도,200,KPOP
2282,"바룬 다완, 방탄소년단 멤버 진에게 영감을 받았을 때",인도,100,KPOP
2283,"방탄소년단: 콜드플레이부터 에드 시런까지, 방탄소년단과 콜라보한 해외 아티스트 12인응",인도,100,KPOP
2284,"방탄소년단, 'Love Yourself: Speak Yourself' 투어 2년 만에 로스앤젤레스에서 첫 오프라인 콘서트 개최",인도,200,KPOP
2285,'갯마을 차차차' 역대 최고 시청률 경신; OST 라인업 공개,인도,10,영화/드라마
2286,"K-팝 보이그룹 BTS, 접종 회의론자들에 대한 이해 표명",독일,300,KPOP
2287,오징어게임으로 한국 미디어 관련주 폭등,UAE,0,기타
2288,"BTS와 블랙핑크, 코로나19 백신과 기후 행동 홍보 위한 유엔의 노력에 동참",홍콩,200,KPOP
2289,"오징어 게임은 일반 시리즈물 그 이상이다, 한국의 새로운 노다지",멕시코,10,영화/드라마
2290,방탄소년단: 정국이 멤버들에게 화를 냈을 때 팬들이 선물한 과일을 먹지 말라고 당부,인도,100,KPOP
2291,"유엔 총회에서 방탄소년단: 한류, K-팝의 성공이 한국의 소프트 파워로 어떻게 전환되는지",인도,100,KPOP
2292,"'방탄소년단', '콜드플레이' 새 싱글 'My Universe' 발매",인도,100,KPOP
2293,"나의 우주: 방탄소년단, 콜드 플레이 협업",인도,100,KPOP
2294,"한국의 서바이벌 드라마, ‘오징어 게임’, 일본 영화 ‘신이 말하는 대로’ 표절 시비에 제작자들 반발",인도,30,영화/드라마
2295,"그룹 엑소 찬열, 브래드 리틀, 마이클 리와 함께 밀리터리 뮤지컬에 출연할 예정",인도,200,KPOP
2296,"하이브, 미야와키 사쿠라의 쏘스뮤직 새 걸그룹 합류에 대해 공식입장 발표",인도,100,KPOP
2297,"콜드플레이, 방탄소년단이 출연하는 'My Universe'의 오디오 티저 공개",인도,100,KPOP
2298,"K팝 댄스 꿀팁: JYP 최영준, 인도서 댄스 트레이너로 활동한다",인도,400,KPOP
2299,한류 연예 열풍이 인도를 강타한 이유,인도,0,기타
2300,"제임스, 방탄소년단 아미를 '15세 소녀들'이라 불러 비판을 받고 있다,",인도,100,KPOP
2301,"BTS 식당의 지정석, 아이사카 조 서울특파원",일본,100,KPOP
2302,방탄소년단과 크리스탈 세대,멕시코,0,기타
2303,한국 드라마 <오징어 게임>이 주목받는 이유,아르헨티나,20,영화/드라마
2304,틱톡에서 유행하는 ‘오징어게임’ 쿠키,미국,0,기타
2305,"넷플릭스의 뜨거운 감자, 한국 드라마‘오징어 게임’",벨기에,20,영화/드라마
2306,전통 한식 4선,벨기에,-1,음식/뷰티
2307,브뤼셀 ‘한국문화의 날’ 한국 길거리 음식,벨기에,-1,음식/뷰티
2308,"이번 주말 브뤼셀, 한국 문화에 주목",벨기에,0,기타
2309,글로벌 시티즌 라이브: 에드시런·리조·빌리 아일리시가 출연한 24시간 콘서트,영국,100,KPOP
2310,"주터키한국문화원장, K-POP은 소프트 파워를 넘어 스마트 파워이며 문화강 국의 견인차 역할을 하고 있다",터키,100,KPOP
2311,소프트 토크,태국,0,기타
2312,"케이팝, 한국의 거대한 흐름",태국,100,KPOP
2313,"국민의 ‘군대이반’을 반영, 한국 군내부의 왕따 드라마, 아이사카 조",일본,10,영화/드라마
2314,BTS,필리핀,100,KPOP
2315,K익스피어런스: 인도에서 한국 문화의 인기가 커짐에 따라 한국관광공사가 인도인들 위한 가상체험 행사 기획,인도,0,기타
2316,히트작 <오징어 게임>과 주말에 볼만한 한국 공포드라마 5편,아르헨티나,10,영화/드라마
2317,BTS와 Coldplay의 공동 작곡,헝가리,100,KPOP
2318,"한국 보이그룹 방탄소년단, UN 본부 무대 삼아 영상 제작",벨기에,200,KPOP
2319,한국 문화에 흠뻑 빠질 수 있는 기회,벨기에,0,기타
2320,"아마존 '오늘의 딜', K팝 문화에 빠져있다면 맛봐야 할 한국 음식 5가지",인도,99,영화/드라마
2321,넷플릭스 히트작 <오징어 게임> 등 <배틀로얄> 장르 영화 6편,아르헨티나,30,영화/드라마
2322,"한국 보이밴드 BTS, 공연과 연설로 유엔 총회 개막",영국,100,KPOP
2323,"BTS, 백신 접종 및 기후 변화 행동을 독려하기 위해 유엔에 나타나",미국,100,KPOP
2324,"K-팝 팬들, 팬-스타 간 친밀한 교류 위해 온라인에 접속",미국,100,KPOP
2325,"블랙핑크 리사, 한국 여성 앨범 역사상 가장 빠르게 팔린 기록 갱신",미국,400,KPOP
2326,"BTS, 한국의 특별 사절단으로서 유엔 방문",미국,100,KPOP
2327,"K팝, 한국의 유엔 혁신국가 도약에 기여",미국,100,KPOP
2328,"K-팝 스타 BTS, 유엔총회로 세계 외교 무대에 뛰어들어",미국,200,KPOP
2329,"퍼미션 투 댄스? BTS, 음악으로 유엔총회 가다",영국,200,KPOP
2330,K팝 그룹 BTS가 연단에 오를 당시 100만 명이 넘는 시청자들이 온라인으로 유엔총회 시청,미국,300,KPOP
2331,"K팝 슈퍼스타 BTS, 유엔의 지속가능한 발전 추진에 목소리 더해",미국,200,KPOP
2332,"BTS, 유엔총회 연설에서 아미 위한 특별한 메시지 남겨",인도,200,KPOP
2333,한국 문화를 사랑하는 팬에게 딱인 한국 음식,인도,-1,음식/뷰티
2334,백만 명 이상 팬들이 시청한 BTS의 UN 생방송 무대,미국,100,KPOP
2335,"K팝 슈퍼스타 BTS, 메트로폴리탄 박물관에 한국 정부 선물 증정 도와",영국,200,KPOP
2336,"수출되는 한국, 세계로 가는 K팝",아르헨티나,100,KPOP
2337,"스트레이 키즈, 'Thunderous'의 사랑스러운 'SKZOO 버전'에 댄스 공연 공개",인도,200,KPOP
2338,"한국관광공사, 인도 팬 기반 구축하기 위해 소비자를 위한 프로그램 시행",인도,0,기타
2339,"김선호, 조정석, 신민아, 9월 드라마 스타 브랜드가치 순위를 이끈다",인도,30,영화/드라마
2340,"방탄소년단과 메간 디 스탤리온 드디어 만남, 방탄 소년들 미국 래퍼에게 선물",인도,100,KPOP
2341,"방탄소년단 지민, 세계 소아마비 날을 앞두고 소아마비 환자를 돕기 위해 사려 깊은 기부를 했다, 팬들의 반응",인도,200,KPOP
2342,방탄소년단 스타 뷔가 유엔 총회에서 강력한 연설을 한 후 뉴욕에서 마스크를 착용하지 않은 모습이 포착되어 네티즌들 사이에서 논란이 되고 있다,인도,100,KPOP
2343,"방탄소년단, 스트레이 키즈, 에이티즈 등 팬들에게 추석 인사를 전했다",인도,300,KPOP
2344,"방탄소년단 제이홉, 코로나 백신접종에 대한 연설로 유니세프로부터 특별한 감사를 받다",인도,200,KPOP
2345,K-pop : 매우 활동적이며 “강력한” 기반 보유,프랑스,100,KPOP
2346,"웨이, 'Immortal Songs 2'에서 다양한 장르의 국악 '아리랑' 선보인다",인도,0,기타
2347,"9월 브랜드 랭킹 1위는 블랙핑크 리사, 2위는 제니",인도,400,KPOP
2348,"방탄소년단: 잘생긴 지민이 큰 이정표를 달성, 아미  '축하해 지민' 트렌드",인도,300,KPOP
2349,"방탄소년단, 클레프 뮤직 시상식에서 큰 상 수상, 인기있는 국제 아티스트 및 인기 있는 K-팝 아티스트 상 획득",인도,300,KPOP
2350,"방탄소년단: 진, 지민과 정국에게 자신을 밀어붙이는 것에 대해 '제정신이 아니다'라고 말한다",인도,100,KPOP
2351,"방탄소년단, 유엔 글로벌 목표와 관련하여 인종차별과 증오심 표현을 규탄할 것을 약속",인도,100,KPOP
2352,종종 방탄소년단으로 오인되는 한국의 신생 보이그룹 블리처스를 만나보자,인도,100,KPOP
2353,"방탄소년단, 팬들에게 2021년 에미상 시상식에서 '버터'가 연주된다고 언급, 전 세계 'FIRST AND ONLY V' 트렌드",인도,100,KPOP
2354,"'리사'의 성공, 태국 젊은이들의 잠재력 개발",태국,200,KPOP
2355,"영국 그룹 콜드플레이, 방탄소년단과 ‘My Universe’ 협업, 티저 공개",벨기에,100,KPOP
2356,"슬기로운 의사생활 시즌 2 최종화, 시즌 최대 시청율 기록",인도,10,영화/드라마
2357,방탄소년단: 지민이 자신의 목소리 때문에 자신이 실패했었다고 말했을 때 정국과 슈가의 반응,인도,100,KPOP
2358,"방탄소년단: 정국, 필리핀 여배우가 스코틀랜드 기념품을 선물하고 난 후 전정국 경이 되다",인도,200,KPOP
2359,한국 뷰티 팁 : 아름답고 건강한 피부를 위한 한국의 뷰티 비법,인도,-2,음식/뷰티
2360,"인코센터, 한국영화 “Two different eyes”상영",인도,10,영화/드라마
2361,아세안의 정체성 만들기,태국,0,기타
2362,방탄소년단이 받은 '외교관 여권' 혜택은,인도네시아,100,KPOP
2363,가난을 주제로 한 번쯤은 웃어도 된다; ‘기생충’,벨기에,10,영화/드라마
2364,왜 태국인들은 '라리사'를 자랑스러워하나,태국,0,기타
2365,"한국문화원, 온라인 태권도 강좌",태국,0,기타
2366,"한국문화원, 아동 대상 마임 공연 제공",태국,0,기타
2367,"한국문화축제 2021, K팝 아티스트와 함께 빛날 한류 팬들 한자리에 모인다",아르헨티나,100,KPOP
2368,“한국영화. 영화는 K로 쓰여진다”,스페인,10,영화/드라마
2369,"NCT 127, '스티커' 선주문으로 이정표 돌파; 컴백 앞두고 파이널 티저 공개",인도,100,KPOP
2370,빌보드 200에서 12주 동안 자리를 유지한 TXT; 2021년 유일한 K팝 아티스트,인도,300,KPOP
2371,"방탄소년단, 10월 24일 가상 콘서트 'Permission To Dance On Stage'로 돌아온다",인도,200,KPOP
2372,한류 열풍: 인도를 기습한 한국 드라마와 문화,카타르,0,기타
2373,[특집] 데이터지상주의 근절하고 영화·드라마·예능 정상적인 심미관으로 이끌어야,중국,20,영화/드라마
2374,"[특집] ‘칭랑’ 특별 행동 실시한 100일에 가까운 시간, 무질서한 ‘팬덤’ 현상 단속 실효 나타내",중국,0,기타
2375,"리사, 파놈 룽의 요정",태국,200,KPOP
2376,"넷플릭스 드라마 ‘D.P.’, 한국 징병제에 논란을 일으켜",태국,20,영화/드라마
2377,"전지현, 주지훈, 성동일 등이 출연하는 tvN '지리산', 드디어 첫 모습 공개",인도,20,영화/드라마
2378,"엑소 카이, '2022 서울패션위크 봄' 글로벌 홍보대사로 선정",인도,100,KPOP
2379,"방탄소년단, 콜드 플레이의 크리스 마틴과 함께 My Universe에 춤을 추고 있는 영상 공유",인도,110,KPOP
2380,방탄소년단 진이 RM에게 가장 달콤한 생일 선물을 주었다,인도,200,KPOP
2381,유엔 총회 위해 외교관 여권 발급받은 BTS,프랑스,100,KPOP
2382,봉준호는 어떻게 미국에 신한류를 불러일으켰나,영국,0,기타
2383,한국 만화 역사 한 세기를 엿볼 수 있는 만화박물관의‘한국관’,벨기에,0,기타
2384,"부리람, 케이팝 스타 성공에 기대",태국,100,KPOP
2385,어린이 위한 온라인 프로그램으로 K-문화 즐기기,태국,0,기타
2386,부르케르 광장(Place de Brouckere)에서 열리는 <한국문화의 날> 축제,벨기에,0,기타
2387,"콜드플레이, 방탄소년단과 협업 신곡발표",벨기에,0,기타
2388,TV 프로그램; 놓치면 안 되는 명작 <기생충>,벨기에,20,영화/드라마
2389,가을에 어울리는 박혜진의 노래 ‘Before I die’,벨기에,0,기타
2390,멧 갈라 데뷔: 여성 K-Pop 가수로서 처음으로 행사에 참석해 큰 반응을 불러온 로제와 CL,미국,100,KPOP
2391,"김수현, 타미 힐피거 글로벌 브랜드 홍보대사 됐다",인도,10,영화/드라마
2392,"라틴 아티스트 오즈나, 블랙핑크와 협력 확정?",인도,0,기타
2393,"블랙핑크의 로제, 멧 갈라 데뷔",인도,100,KPOP
2394,"'사랑의 불시착', 2021 방송통신위원회 방송대상에서 대상 수상",인도,20,영화/드라마
2395,"K-팝 센세이션 리사, 전통적인 머리 장식으로 태국 팬들을 신나게 한다",인도,300,KPOP
2396,"콜드플레이와 방탄소년단의 협업, '마이 유니버스' 9월 24일 발매될 예정",인도,100,KPOP
2397,"방탄소년단, 유엔과 함께하는 'Youth Today, Youth Stories' 캠페인 시작",인도,100,KPOP
2398,"문재인 대통령과 방탄소년단(BTS) 주먹 인사, 특사증서 수령",인도,200,KPOP
2399,"남주혁, 김태리, 보나 등 청춘 로맨스 드라마에 출연 확정",인도,10,영화/드라마
2400,"트와이스 'TT', 그룹 최초로 유튜브 마일스톤 달성",인도,200,KPOP
2401,"'내 이름': 넷플릭스, 티저 포스터 공개, 한국 드라마 출시일 발표",인도,20,영화/드라마
2402,"방탄소년단 9월 브랜드 평판 1위, 스트레이 키즈가 2위를 차지,",인도,200,KPOP
2403,"방탄소년단의 'Permission to Dance', 유튜브에서 기존 방탄소년단의 기록을 이어가는 이정료 달성",인도,200,KPOP
2404,"블랙핑크가 저스틴 비버, 방탄소년단 뷔를 제치고 유튜브 최다 구독 아티스트가 됐다",인도,100,KPOP
2405,"방탄소년단 : 인도 배우, 거하르 Permission to Dance 채린지에 도전, 팬들의 반응",인도,110,KPOP
2406,"팬 영상, 드러머 정국의 비트에 맞춰 춤추는 디피카 파두콘",인도,0,기타
2407,"방탄소년단에 이상도 있다 : '안녕 한류' 팟캐스트, 한국 대중문화의 대세 설명",인도,0,기타
2408,"블랙핑크의 리사, 솔로 데뷔 뮤직 비디오 'LALISA'로 인상적인 유튜브 및 아이튠즈 기록 달성",인도,300,KPOP
2409,방탄소년단: K팝 그룹 칠레 콘서트 중 정국이 쓰러져서 밴드 멤버들이 패닉 상태에 빠졌을 때,인도,500,KPOP
2410,"방탄소년단: 김남준, 이것 때문에 랩몬스터에서 RM으로 예명을 바꿨다",인도,300,KPOP
2411,‘엽기적인 그녀’ 태국판 포스터 공개,태국,0,기타
2412,"정부, ‘리사’ 신곡의 큰 인기를 ‘소프트 파워’ 계획에 연계",태국,200,KPOP
2413,"MTV VMA: 방탄소년단이 아리아나 그란데, 저스틴 비버를 상대로 여러 부문 후보 지명",인도,100,KPOP
2414,"한국문화원, 온라인 태권도 강좌",태국,0,기타
2415,"한국문화원, 아동 대상 온라인 프로그램으로 한국문화 전파",태국,-1,음식/뷰티
2416,"김선호와 소녀시대 윤아, 로맨틱 코미디 영화 '두시의 데이트'에 출연 확정",인도,10,영화/드라마
2417,"블랙핑크의 'How You Like That', 스포티파이에서 K팝 걸그룹의 첫 번째 곡으로 해당 이정표 달성",인도,100,KPOP
2418,MTV VMA에서의 방탄소년단: 올해의 최고 그룹 및 최고의 K팝 부문을 차지. 달콤한 메시지로 팬들에게 감사 인사,인도,300,KPOP
2419,완벽하면서도 저렴하다: 한국 뷰티 제품이 인도 스킨케어 시장을 어떻게 변화시키고 있는지,인도,-2,음식/뷰티
2420,"릴 나스 엑스, MTV 뮤직비디오상 수상",벨기에,0,기타
2421,"블랙핑크 리사 데뷔곡, ‘라리사’와 ‘머니’",벨기에,300,KPOP
2422,올 가을 브뤼셀에서 한국문화를 즐기는 다섯 가지 방법,벨기에,0,기타
2423,"웨이보, K팝 계정 22개 정지",영국,100,KPOP
2424,파키스탄에서 정국의 광고판이 벗겨졌다. 정치인은 방탄소년단을 '나쁜 영향력'이라고 불렀다,인도,100,KPOP
2425,코로나 시대에 진화한 한국 패션,인도,0,기타
2426,"방탄소년단 '페이크 러브', 유튜브 10억 클럽에 최신 추가",인도,100,KPOP
2427,"방탄소년단: RM, 인도 팬에게 화답",인도,200,KPOP
2428,"펜트하우스 3의 마지막에서 두 번째 에피소드는 시청률 상승을 기록. 2AM의 임슬옹, 깜짝 카메오 출연",인도,0,기타
2429,블랙핑크 리사가 이날 '지미 팰런 주연의 더 투나잇 쇼'에서 새 솔로 싱글 무대를 선보일 것,인도,100,KPOP
2430,마마무가 앨범 'I SAY MAMAMOO : THE BEST'의 이미지 티저 일정을 공개했다,인도,100,KPOP
2431,9월 4-5일: 온라인 한국 영화 상영,인도,10,영화/드라마
2432,"한류: 한국에서 만든, 인도에서 소비하고 사랑받는 것",인도,0,기타
2433,"시진핑 中 국가주석, 셀럽 문화 단속하며 팬 군단과 격돌",영국,0,기타
2434,한국 드라마와 함께 하는 휴식,필리핀,0,기타
2435,"두근거림, 공감, 특별한 드라마 - 자숙의 날들에 한류, 꿈도 생겼다",일본,10,영화/드라마
2436,"잘가, 방탄소년단? 방탄소년단의 군입대는 아미를 두렵게 한다",멕시코,200,KPOP
2437,"브뤼셀 국제만화축제, 한 달 동안 개최",벨기에,0,기타
2438,금요일부터 브뤼셀 곳곳에서 만화 축제 개최,벨기에,0,기타
2439,한류의 열풍을 타고: 인도 가정 집에 한국포장 식품 진출,인도,0,기타
2440,"송중기, 제26회 부산국제영화제의 호스트로 논의 중",인도,10,영화/드라마
2441,"라붐의 리더 유정, 팬들에게 자필로 7년 만에 탈퇴 발표",인도,0,기타
2442,"엑소 세훈, 영화 '해적:도깨비 깃발' 출연할 예정; 티저 포스터 공개",인도,120,KPOP
2443,"방탄소년단, 제이홉, 지민, 정국이 '버터' ft 메간 디 스탤리온의 스페셜 퍼포먼스 영상을 공유",인도,310,KPOP
2444,"방탄소년단, 스트레이 키즈, 블랙핑크, TxT, 빌보드 월드 앨범 차트 이끈다",인도,700,KPOP
2445,방탄소년단: RM이 K팝 그룹 리더로 남을 것과 솔로 활동 중 하나를 선택하라는 질문을 받았을 때,인도,400,KPOP
2446,K팝으로부터 젊은이는 빠져든다     이웃나라의 말 ⑤,일본,0,기타
2447,"중국, SNS 내 케이팝 팬클럽 계정 정지",터키,100,KPOP
2448,방탄소년단 효과로 절판된 책 재출간,태국,100,KPOP
2449,"[분석] 아이돌의 ‘변질’, 대중문화의 요절",중국,0,기타
2450,"주한중국대사관 ""팬덤 문화 단속, 그 어떤 나라도 겨냥한 것 아냐""",아르헨티나,0,기타
2451,"웨이보, 방탄소년단 비행기 자금 때문에 K-팝 팬클럽 금지",인도,200,KPOP
2452,"tvN 드라마 '배드 앤 크레이지'기 이동욱, 한지은, 위하준에 출연을 확정",인도,20,영화/드라마
2453,"방탄소년단 '버터', 빌보드 핫 100 차트 1위 복귀; 방탄소년단은 아미에게 감사 인사를 전해 '항상 여러분의 사랑과 성원에 감사드립니다'라고 언급",인도,300,KPOP
2454,'불법 자금'으로 중국서 지민 팬클럽 차단됐다,인도,100,KPOP
2455,한 모금 계획,인도,0,기타
2456,한류에서 영감을 받은 요리법,필리핀,0,기타
2457,"중국, 연예계 통제 강화…수십 개의 K팝 팬클럽 계정 정지",아르헨티나,100,KPOP
2458,영화 기생충 소개,벨기에,20,영화/드라마
2459,"주한중국대사관 대변인, 中 정부의 ‘칭랑’ 계열 특별 행동 개시에 대한 입장 표명",중국,0,기타
2460,부산행 감독의 새 공포 드라마 티저 영상 공개,벨기에,20,영화/드라마
2461,방탄소년단: 뷔가 정국이를 질투한다고 말해 우가 스쿼드에게 커피차 보내달라고 했다,인도,100,KPOP
2462,'응답하라 1988' 이동휘와 정은채가 로맨틱 코미디 영화로 캐스팅 됐다,인도,10,영화/드라마
2463,걸그룹 블랙핑크의 리사가 첫 솔로 싱글을 발표할 준비가 됐다,인도,100,KPOP
2464,"이민호는 두려움, 자유일 때의 계획, 스포츠에 대한 사랑, 민트 초콜릿 아이스크림에 대해 말한다",인도,0,기타
2465,인도 배우 판카즈 트리파티의 딸은 방탄소년단 아미이며 K-드라마 배우를 좋아한다. '그녀는 인도 배우를 보지 않다',인도,120,KPOP
2466,"방탄소년단 : K-팝 스타가 되는 꿈을 반대 한 지민의 학교 선생님, 그의 마음이 바뀐 이유",인도,200,KPOP
2467,이민호의 인도인 팬들이 나사 임무에서 그의 이름을 화성에 보낸다,인도,0,기타
2468,한국은 마음에 드시나요?,인도,0,기타
2469,"K-드라마 메이크업 룩, 음식 데모가 웨비나에서 주목 받았다",인도,8,영화/드라마
2470,"중국 소셜미디어 ‘웨이보’, K팝 팬 계정 정지",미국,100,KPOP
2471,한국 배우 박서준 마블영화촬영한다고 확정,UAE,20,영화/드라마
2472,"한류, 中 ‘칭랑(?朗)’에 노선 바꾸나?",중국,0,기타
2473,한국연예인 <팬활동> 표적? 중국 BTS팬들의 SNS 정지,일본,100,KPOP
2474,"중국, BTS 팬들의 불법 모금 활동 금지",필리핀,100,KPOP
2475,지옥-부산행 감독의 넷플릭스 시리즈 다크 예고편,폴란드,30,영화/드라마
2476,K-Pop 아이돌 그룹 동키즈: 터키 팬들의 사랑을 가까이 느끼다,터키,300,KPOP
2477,"루갈, 이태원 클라쓰, 사내 맞선: 웹툰을 각색한 한국 인기 드라마",인도,20,영화/드라마
2478,"""방탄소년단 인 더 숲""이 10월 시즌 2로 돌아온다. 발표에 아미 반응",인도,200,KPOP
2479,"방탄소년단, 23개 기록으로 기네스 세계 기록 명예 입성",인도,100,KPOP
2480,현재까지 '2021 더팩트 뮤직 어워드'에 참석이 확인된 모든 K팝 아티스트들,인도,200,KPOP
2481,[논평] 한류스타 위한 모금액으로 비행기 ‘래핑’…역풍 맞서 일 저지를 자신감 어디서 왔나?,중국,0,기타
2482,"한류: 메이드인코리아, 인도에서 사랑받다",인도,0,기타
2483,"방탄소년단, 23개의 기록으로 2022년 기네스 세계기록 명예의 전당에 입성",미국,100,KPOP
2484,"韓 언론, ‘中 팬의 한류스타 생일 축하’에 주목",중국,0,기타
2485,"아레나 5 콘서트 대미 장식하는 페기 구, 투매니디제이스",벨기에,100,KPOP
2486,"김유정, 변우석, 넷플릭스 로맨스 영화 '20세기 소녀' 출연 확정",인도,40,영화/드라마
2487,스트레이 키즈는 이번 주 빌보드 세계 디지털 음원 판매 차트와 세계 앨범 차트를 이끌다,인도,300,KPOP
2488,K드라마에 관한 체험 웨비나를 개최,인도,10,영화/드라마
2489,신하리는 나마스까람이라고 말함,인도,0,기타
2490,"K-드라마, K-팝에 중독됐나요? 이제 인도어로 된 K-웹툰에 빠져보자",인도,10,영화/드라마
2491,필리핀 음식과 한식은 당신이 생각하는 것보다 닮은 점이 더 많다,필리핀,0,기타
2492,"2manydjs와 페기 구, 9월 12일 아토미움에서 공연",벨기에,0,기타
2493,금주 볼만한 연극 추천,벨기에,0,기타
2494,"터키 가족노동사회부, K팝이 청소년을 위협한다고 판단",독일,0,기타
2495,방탄소년단 아미가 K팝 밴드 3000일을 마치고 정국의 생일을 축하한다,인도,300,KPOP
2496,"방탄소년단 트랙 버터, 버터는 빌보드 핫 100 차트 탑 10위권에서 가장 오래 지속된 곡",인도,300,KPOP
2497,한국드라마,태국,10,영화/드라마
2498,벨기에 만화센터 행사 톺아보기,벨기에,0,기타
2499,맛있는 한국식 핫도그 조리법 공개,벨기에,0,기타
2500,"동키즈, 앙카라서 공연 개최",터키,0,기타
2501,"터키 가족사회복지부, K-POP에 대한 조사 시작",터키,100,KPOP
2502,"케이팝 그룹, 앙카라에 있다",터키,200,KPOP
2503,'유미의 세포들' 흥미로운 포스터와 이상이 카메오 출연 공개,인도,10,영화/드라마
2504,"'그럼에도 불구하고' 웹툰 작가, 윤나비와 박재언을 위해 영감을 준 두 연예인 공개",인도,0,기타
2505,이민호와 모모랜드 전 멤버 연우의 열애? MYM 엔터테인먼트의 대응,인도,0,기타
2506,"방탄소년단 : 지민 자기 이빨에 대한 '슬픈' 업데이트 공유, 뷔 라이브에서의 컴백에 대한 스포일러 제공; RM 카메오 출연",인도,410,KPOP
2507,한국 좀비 영화 '부산행' 미국 리메이크 소문에 팬들은 행복하지 않다,인도,20,영화/드라마
2508,"방탄소년단, 전 세계에서 정국의 24번째 생일을 알차게 준비하고 있다",인도,100,KPOP
2509,"방탄소년단: 블랙스완 공연 중 RM이 미끄러져 넘어지고, 정국, 진, 지민이 뒤를 이었다",인도,300,KPOP
2510,가장 부유한 방탄소년단 멤버는 누구이며 이 K-팝 소년들은 얼마를 버나요?,인도,200,KPOP
2511,그레이의 50가지 그림자 스타 제이미 도넌이 방탄소년단의 일원이 되고 싶다고 요청했을 때,인도,100,KPOP
2512,방탄소년단,인도,100,KPOP
2513,에이티즈 멤버들의 'ZERO: FEVER Part.3' 티저 사진이 공개,인도,100,KPOP
2514,"B.I는 마약 사건 혐의를 인정하고 사과 편지를 제출; 검찰, 징역 3년 요구",인도,0,기타
2515,"제시, 'SNL 코리아 2021' 복귀 시즌 호스트 라인업 확정",인도,0,기타
2516,방탄소년단 '버터' 메간 디 스탤리온이 여기에 있으며 '코코 버터'처럼 부드럽다,인도,100,KPOP
2517,"방탄소년단, 대유행 속 텅 빈 경기장 공연에 대해 이야기 나누었다, '고통스러웠다'고 함",인도,100,KPOP
2518,아난드 판딧: 한국 리메이크 작품들을 위해 사전 협의 중,인도,0,기타
2519,"K팝 그룹 '방탄소년단', 음원차트 조작 부인",인도,300,KPOP
2520,"윤시윤, KBS 주말드라마 '지금이 아름다워' 이혼변호사로 주연 맡을 예정",인도,10,영화/드라마
2521,"차은우, 드라마 '새콤달콤한 치킨' 출연 논의",인도,20,영화/드라마
2522,"슈퍼주니어 규현, '별이 빛나는 밤에' 뮤직비디오 티저 공개",인도,100,KPOP
2523,"방탄소년단 리더 RM, 아미 음원차트 조작 의혹에 '우리에게 안좋은 영향이 있을지 모르겠으나 우리는 팬들의 편",인도,300,KPOP
2524,"BTS 리더 RM의 사진 속에 포착된 책, 한국 베스트셀러 등극",미국,200,KPOP
2525,실제로 가볼 수 있는 한국의 상징적인 K-드라마 촬영지 18곳,미국,10,영화/드라마
2526,배우 이민호와 전 모모랜드 멤버 연우 열애 중,인도네시아,10,영화/드라마
2527,영화 모가디슈 올해 최고 흥행작으로 선정,인도네시아,20,영화/드라마
2528,최다 팔로워 보유한 한국 연예인은?,인도네시아,0,기타
2529,"일본 여성들, 한국 패션 스타일에서 영감 얻어",필리핀,0,기타
2530,"한국 드라마 속 일상, 현실과 얼마나 비슷할까?",아르헨티나,10,영화/드라마
2531,한식의 주재료 고춧가루,아르헨티나,0,기타
2532,꼭 봐야 하는 한국 영화 : 최고의 한국영화 가이드,미국,20,영화/드라마
2533,한식 트렌드‘구절판’소개,벨기에,-1,음식/뷰티
